frames,millis,radial,angular
543,9290.26999999769,1,0
544,9306.065000011586,0,0
545,9324.689999921247,0,0
546,9340.729999938048,0,0
547,9356.589999981225,1,0
548,9372.729999944568,0,0
549,9390.849999967031,0,0
550,9407.114999950863,0,0
551,9423.814999987371,0,0
552,9441.389999934472,1,0
553,9457.579999929294,1,0
554,9474.159999983385,2.8284271247461903,-0.7853981633974483
555,9491.610000026412,6.4031242374328485,-0.6747409422235527
556,9508.114999975078,10,-0.6435011087932844
557,9524.405000032857,16.1245154965971,-0.5191461142465229
558,9541.235000011511,29.5296461204668,-0.4939413689195812
559,9557.284999988042,29.5296461204668,-0.4939413689195812
560,9575.055000022985,42.941821107167776,-0.4844779290370232
561,9589.61000002455,37.12142238654117,-0.4756952188549921
562,9607.45000001043,55.90169943749474,-0.4636476090008061
563,9623.705000034533,30.463092423455635,-0.4048917862850834
564,9640.754999942146,27.313000567495326,-0.41450687458478597
565,9657.355000032112,27.730849247724095,-0.44751997515716985
566,9674.21500000637,41.182520563948,-0.507098504392337
567,9691.544999950565,23.323807579381203,-0.5404195002705842
568,9707.8249999322,28.0178514522438,-0.6078019961139605
569,9723.98000000976,22.80350850198276,-0.6610431688506868
570,9739.67999999877,20,-0.6435011087932844
571,9756.934999953955,17.029386365926403,-0.702256931509007
572,9782.544999965467,43.41658669218482,-0.6711438354360088
573,9806.239999947138,39.6232255123179,-0.7496990507181244
574,9824.009999982081,21.93171219946131,-0.7531512809621944
575,9840.854999958538,16.401219466856727,-0.6556956262415362
576,9857.740000006743,13.45362404707371,-0.7328151017865066
577,9874.504999956116,8.602325267042627,-0.6202494859828215
578,9889.05999995768,8.48528137423857,-0.7853981633974483
579,9907.69000002183,12.041594578792296,-0.7266423406817256
580,9923.004999989644,8.602325267042627,-0.6202494859828215
581,9940.584999974817,7.211102550927978,-0.982793723247329
582,9956.505000009201,10,-0.9272952180016122
583,9972.369999974035,5.830951894845301,-1.0303768265243125
584,10004.22499992419,8.94427190999916,-1.1071487177940904
585,10017.400000011548,5.385164807134504,-1.1902899496825317
